,title,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,lower_title,_merge
3310,Mr. Magoo,tt0119718,movie,Mr. Magoo,Mr. Magoo,0,1997,\N,87,"Adventure,Comedy,Family",mr magoo,both
3313,Mr. Toad's Wild Ride,tt0118172,movie,Mr. Toad's Wild Ride,The Wind in the Willows,0,1996,\N,88,"Adventure,Comedy,Family",mr toads wild ride,both
3315,Mulan,tt0120762,movie,Mulan,Mulan,0,1998,\N,88,"Adventure,Animation,Comedy",mulan,both
3328,Mulan,tt4566758,movie,Mulan,Mulan,0,2020,\N,115,"Action,Adventure,Drama",mulan,both
3340,Muppet Treasure Island,tt0117110,movie,Muppet Treasure Island,Muppet Treasure Island,0,1996,\N,99,"Action,Adventure,Comedy",muppet treasure island,both
3347,Muppets Most Wanted,tt2281587,movie,Muppets Most Wanted,Muppets Most Wanted,0,2014,\N,107,"Adventure,Comedy,Crime",muppets most wanted,both
3359,My Favorite Martian,tt0120764,movie,My Favorite Martian,My Favorite Martian,0,1999,\N,94,"Comedy,Family,Sci-Fi",my favorite martian,both
3362,My Neighbors The Yamadas,tt0206013,movie,My Neighbors the Yamadas,Hôhokekyo tonari no Yamada-kun,0,1999,\N,104,"Animation,Comedy,Family",my neighbors the yamadas,both
3364,Napoleon and Samantha,tt0068990,movie,Napoleon and Samantha,Napoleon and Samantha,0,1972,\N,92,"Adventure,Drama",napoleon and samantha,both
3366,National Treasure,tt0368891,movie,National Treasure,National Treasure,0,2004,\N,131,"Action,Adventure,Mystery",national treasure,both
3380,National Treasure,tt8292728,movie,National Treasure,Gui bao,0,1983,\N,96,Drama,national treasure,both
3382,National Treasure: Book of Secrets,tt0465234,movie,National Treasure: Book of Secrets,National Treasure: Book of Secrets,0,2007,\N,124,"Action,Adventure,Mystery",national treasure book of secrets,both
3387,Never a Dull Moment,tt0063341,movie,Never a Dull Moment,Never a Dull Moment,0,1968,\N,99,"Comedy,Crime,Family",never a dull moment,both
3394,Never Cry Wolf,tt0086005,movie,Never Cry Wolf,Never Cry Wolf,0,1983,\N,105,"Adventure,Drama",never cry wolf,both
3396,Newsies,tt0104990,movie,Newsies,Newsies,0,1992,\N,121,"Drama,Family,History",newsies,both
3402,Night Crossing,tt0082810,movie,Night Crossing,Night Crossing,0,1982,\N,107,"Drama,Family,History",night crossing,both
3404,"Nikki, Wild Dog of the North",tt0055232,movie,"Nikki, Wild Dog of the North","Nikki, Wild Dog of the North",0,1961,\N,74,"Adventure,Family",nikki wild dog of the north,both
3406,No Deposit No Return,tt0074968,movie,"No Deposit, No Return",No Deposit No Return,0,1976,\N,112,"Comedy,Family",no deposit no return,both
3415,"Now You See Him, Now You Don't",tt0069031,movie,"Now You See Him, Now You Don't","Now You See Him, Now You Don't",0,1972,\N,88,"Comedy,Family,Sci-Fi",now you see him now you dont,both
3425,Oceans,tt0765128,movie,Oceans,Océans,0,2009,\N,104,Documentary,oceans,both
3431,Oceans,tt1171257,movie,Oceans,Oceans,0,1971,\N,\N,"Documentary,Sport",oceans,both
3467,Old Dogs,tt0976238,movie,Old Dogs,Old Dogs,0,2009,\N,88,"Comedy,Family",old dogs,both
3475,Old Yeller,tt0050798,movie,Old Yeller,Old Yeller,0,1957,\N,83,"Adventure,Drama,Family",old yeller,both
3481,Oliver & Company,tt0095776,movie,Oliver & Company,Oliver & Company,0,1988,\N,74,"Adventure,Animation,Comedy",oliver  company,both
3523,Once Upon a Warrior,tt1621994,movie,Once Upon a Warrior,Anaganaga O Dheerudu,0,2011,\N,133,"Action,Adventure,Family",once upon a warrior,both
3524,One Little Indian,tt0070481,movie,One Little Indian,One Little Indian,0,1973,\N,90,"Comedy,Family,Western",one little indian,both
3530,One Magic Christmas,tt0089731,movie,One Magic Christmas,One Magic Christmas,0,1985,\N,89,"Family,Fantasy",one magic christmas,both
3531,One of Our Dinosaurs Is Missing,tt0075016,movie,One of Our Dinosaurs Is Missing,One of Our Dinosaurs Is Missing,0,1975,\N,94,"Adventure,Comedy,Family",one of our dinosaurs is missing,both
3556,Onward,tt7146812,movie,Onward,Onward,0,2020,\N,102,"Adventure,Animation,Comedy",onward,both
3559,Operation Dumbo Drop,tt0114048,movie,Operation Dumbo Drop,Operation Dumbo Drop,0,1995,\N,107,"Action,Adventure,Comedy",operation dumbo drop,both
3560,Oz the Great and Powerful,tt1623205,movie,Oz the Great and Powerful,Oz the Great and Powerful,0,2013,\N,130,"Adventure,Family,Fantasy",oz the great and powerful,both
3582,Peter Pan,tt0046183,movie,Peter Pan,Peter Pan,0,1953,\N,77,"Adventure,Animation,Family",peter pan,both
3610,Pete's Dragon,tt0076538,movie,Pete's Dragon,Pete's Dragon,0,1977,\N,128,"Adventure,Animation,Comedy",petes dragon,both
3612,Pete's Dragon,tt2788732,movie,Pete's Dragon,Pete's Dragon,0,2016,\N,102,"Action,Adventure,Comedy",petes dragon,both
3620,Pinocchio,tt0032910,movie,Pinocchio,Pinocchio,0,1940,\N,88,"Adventure,Animation,Comedy",pinocchio,both
3682,Pirates of the Caribbean: At World's End,tt0449088,movie,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,0,2007,\N,169,"Action,Adventure,Fantasy",pirates of the caribbean at worlds end,both
3688,Pirates of the Caribbean: Dead Man's Chest,tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,0,2006,\N,151,"Action,Adventure,Fantasy",pirates of the caribbean dead mans chest,both
3694,Pirates of the Caribbean: Dead Men Tell No Tales,tt1790809,movie,Pirates of the Caribbean: Dead Men Tell No Tales,Pirates of the Caribbean: Dead Men Tell No Tales,0,2017,\N,129,"Action,Adventure,Fantasy",pirates of the caribbean dead men tell no tales,both
3705,Pirates of the Caribbean: On Stranger Tides,tt1298650,movie,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,0,2011,\N,137,"Action,Adventure,Fantasy",pirates of the caribbean on stranger tides,both
3711,Pirates of the Caribbean: The Curse of the Black Pearl,tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,0,2003,\N,143,"Action,Adventure,Fantasy",pirates of the caribbean the curse of the black pearl,both
3718,Planes,tt1691917,movie,Planes,Planes,0,2013,\N,91,"Adventure,Animation,Comedy",planes,both
3738,Planes: Fire & Rescue,tt2980706,movie,Planes: Fire & Rescue,Planes: Fire & Rescue,0,2014,\N,83,"Adventure,Animation,Comedy",planes fire  rescue,both
3742,Pocahontas,tt0114148,movie,Pocahontas,Pocahontas,0,1995,\N,81,"Adventure,Animation,Drama",pocahontas,both
3771,Polly,tt1924347,movie,Polly,Polly,0,2010,\N,50,Horror,polly,both
3787,Pollyanna,tt0054195,movie,Pollyanna,Pollyanna,0,1920,\N,58,"Comedy,Drama,Family",pollyanna,both
3788,Pollyanna,tt0054195,movie,Pollyanna,Pollyanna,0,1960,\N,134,"Comedy,Drama,Family",pollyanna,both
3794,Prince of Persia: The Sands of Time,tt0473075,movie,Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,0,2010,\N,116,"Action,Adventure,Fantasy",prince of persia the sands of time,both
3818,Prom,tt1604171,movie,Prom,Prom,0,2011,\N,104,"Comedy,Drama,Family",prom,both
3853,Queen of Katwe,tt4341582,movie,Queen of Katwe,Queen of Katwe,0,2016,\N,124,"Biography,Drama,Sport",queen of katwe,both
3854,Race To Witch Mountain,tt1075417,movie,Race to Witch Mountain,Race to Witch Mountain,0,2009,\N,98,"Action,Adventure,Family",race to witch mountain,both
3857,Ralph Breaks the Internet: Wreck-It Ralph 2,tt5848272,movie,Ralph Breaks the Internet,Ralph Breaks the Internet,0,2018,\N,112,"Adventure,Animation,Comedy",ralph breaks the internet,both
3858,Rascal,tt0064875,movie,Rascal,Rascal,0,1969,\N,85,"Drama,Family",rascal,both
3872,Ratatouille,tt0382932,movie,Ratatouille,Ratatouille,0,2007,\N,111,"Adventure,Animation,Comedy",ratatouille,both
3889,Raya and the Last Dragon,tt5109280,movie,Raya and the Last Dragon,Raya and the Last Dragon,0,2021,\N,107,"Action,Adventure,Animation",raya and the last dragon,both
3894,Recess: School's Out,tt0265632,movie,Recess: School's Out,Recess: School's Out,0,2001,\N,82,"Adventure,Animation,Comedy",recess schools out,both
3896,Remember the Titans,tt0210945,movie,Remember the Titans,Remember the Titans,0,2000,\N,113,"Biography,Drama,Sport",remember the titans,both
3899,Return from Witch Mountain,tt0078158,movie,Return from Witch Mountain,Return from Witch Mountain,0,1978,\N,95,"Adventure,Family,Fantasy",return from witch mountain,both
3903,Return to Never Land,tt0280030,movie,Peter Pan 2: Return to Never Land,Return to Never Land,0,2002,\N,72,"Adventure,Animation,Family",peter pan 2 return to never land,both
3905,Return to Oz,tt0089908,movie,Return to Oz,Return to Oz,0,1985,\N,113,"Adventure,Family,Fantasy",return to oz,both
3916,Return to Snowy River,tt0095993,movie,Return to Snowy River,The Man from Snowy River II,0,1988,\N,110,"Adventure,Drama,Western",return to snowy river,both
3917,Ride a Wild Pony,tt0075141,movie,Ride a Wild Pony,Ride a Wild Pony,0,1975,\N,91,"Adventure,Family",ride a wild pony,both
3930,Rio,tt1436562,movie,Rio,Rio,0,2011,\N,96,"Adventure,Animation,Comedy",rio,both
3962,Rio 2,tt2357291,movie,Rio 2,Rio 2,0,2014,\N,101,"Adventure,Animation,Comedy",rio 2,both
3969,Rob Roy: The Highland Rogue,tt0046246,movie,Rob Roy: The Highland Rogue,Rob Roy: The Highland Rogue,0,1953,\N,81,"Adventure,Biography,Drama",rob roy the highland rogue,both
3973,Robin Hood,tt0070608,movie,Robin Hood,Robin Hood,0,1973,\N,83,"Adventure,Animation,Comedy",robin hood,both
4042,Robots,tt0358082,movie,Robots,Robots,0,2005,\N,91,"Adventure,Animation,Comedy",robots,both
4109,RocketMan,tt0120029,movie,RocketMan,RocketMan,0,1997,\N,95,"Comedy,Family,Sci-Fi",rocketman,both
4131,Rogue One: A Star Wars Story,tt3748528,movie,Rogue One: A Star Wars Story,Rogue One,0,2016,\N,133,"Action,Adventure,Sci-Fi",rogue one a star wars story,both
4153,Santa Paws 2: The Santa Pups,tt2414212,movie,Santa Paws 2: The Santa Pups,Santa Paws 2: The Santa Pups,0,2012,\N,88,"Adventure,Family",santa paws 2 the santa pups,both
4154,Savage Sam,tt0057473,movie,Savage Sam,Savage Sam,0,1963,\N,103,"Adventure,Drama,Family",savage sam,both
4156,Saving Mr. Banks,tt2140373,movie,Saving Mr. Banks,Saving Mr. Banks,0,2013,\N,125,"Biography,Comedy,Drama",saving mr banks,both
4162,Scandalous John,tt0067712,movie,Scandalous John,Scandalous John,0,1971,\N,113,"Comedy,Drama,Family",scandalous john,both
4164,Secretariat,tt1028576,movie,Secretariat,Secretariat,0,2010,\N,123,"Biography,Drama,Family",secretariat,both
4172,Secrets of Life,tt0049733,movie,Secrets of Life,Secrets of Life,0,1956,\N,70,"Documentary,Family",secrets of life,both
4173,Secrets of Life,tt2064925,movie,Secrets of Life,Secrets of Life,0,2009,\N,100,Documentary,secrets of life,both
4180,Shang-Chi and The Legend of The Ten Rings,tt9376612,movie,Shang-Chi and the Legend of the Ten Rings,Shang-Chi and the Legend of the Ten Rings,0,2021,\N,132,"Action,Adventure,Fantasy",shangchi and the legend of the ten rings,both
4183,Shipwrecked,tt0099816,movie,Shipwrecked,Shipwrecked,0,1926,\N,74,"Adventure,Drama,Romance",shipwrecked,both
4184,Shipwrecked,tt0099816,movie,Shipwrecked,Haakon Haakonsen,0,1990,\N,92,"Adventure,Family",shipwrecked,both
4238,Sky High,tt0405325,movie,Sky High,Sky High,0,2005,\N,100,"Action,Comedy,Family",sky high,both
4271,Sleeping Beauty (1959),tt0053285,movie,Sleeping Beauty,Sleeping Beauty,0,1959,\N,75,"Adventure,Animation,Family",sleeping beauty,both
4280,Smith!,tt0065003,movie,Smith!,Smith!,0,1969,\N,112,"Drama,Family,Western",smith,both
4299,Snow Dogs,tt0281373,movie,Snow Dogs,Snow Dogs,0,2002,\N,99,"Adventure,Comedy,Family",snow dogs,both
4301,Snow White and the Seven Dwarfs,tt0029583,movie,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,0,1937,\N,83,"Adventure,Animation,Family",snow white and the seven dwarfs,both
4317,Snowball Express,tt0069291,movie,Snowball Express,Snowball Express,0,1972,\N,93,"Comedy,Family",snowball express,both
4319,So Dear To My Heart,tt0041890,movie,So Dear to My Heart,So Dear to My Heart,0,1948,\N,79,"Animation,Drama,Family",so dear to my heart,both
4331,Solo: A Star Wars Story,tt3778644,movie,Solo: A Star Wars Story,Solo: A Star Wars Story,0,2018,\N,135,"Action,Adventure,Sci-Fi",solo a star wars story,both
4349,Something Wicked This Way Comes,tt0086336,movie,Something Wicked This Way Comes,Something Wicked This Way Comes,0,1983,\N,95,"Fantasy,Mystery,Thriller",something wicked this way comes,both
4375,Son of Flubber,tt0057518,movie,Son of Flubber,Son of Flubber,0,1963,\N,100,"Comedy,Family,Sci-Fi",son of flubber,both
4412,Soul,tt2948372,movie,Soul,Soul,0,2020,\N,100,"Adventure,Animation,Comedy",soul,both
4429,Sounder,tt0069303,movie,Sounder,Sounder,0,1972,\N,105,"Drama,Family",sounder,both
4436,Spies in Disguise,tt5814534,movie,Spies in Disguise,Spies in Disguise,0,2019,\N,102,"Action,Adventure,Animation",spies in disguise,both
4437,Squanto: A Warrior's Tale,tt0111271,movie,Squanto: A Warrior's Tale,Squanto: A Warrior's Tale,0,1994,\N,102,"Adventure,Biography,Drama",squanto a warriors tale,both
4573,Summer Magic,tt0057542,movie,Summer Magic,Summer Magic,0,1963,\N,110,"Comedy,Family,Musical",summer magic,both
4576,Superdad,tt0070716,movie,Superdad,Superdad,0,1973,\N,96,"Comedy,Family",superdad,both
4588,Swiss Family Robinson,tt0054357,movie,Swiss Family Robinson,Swiss Family Robinson,0,1960,\N,126,"Adventure,Family",swiss family robinson,both
4600,Tall Tale: The Unbelievable Adventure,tt0111359,movie,Tall Tale,Tall Tale,0,1995,\N,96,"Adventure,Family,Fantasy",tall tale,both
4606,Tangled,tt0398286,movie,Tangled,Tangled,0,2010,\N,100,"Adventure,Animation,Comedy",tangled,both
4636,Tarzan,tt0120855,movie,Tarzan,Tarzan,0,1999,\N,88,"Adventure,Animation,Comedy",tarzan,both
4646,Tarzan,tt1705952,movie,Tarzan,Tarzan,0,2013,\N,94,"Action,Adventure,Animation",tarzan,both
4659,Teacher's Pet,tt0350194,movie,Teacher's Pet,Teacher's Pet,0,2004,\N,73,"Adventure,Animation,Comedy",teachers pet,both
4767,Ten Who Dared,tt0054372,movie,Ten Who Dared,Ten Who Dared,0,1960,\N,92,"Adventure,Family,Western",ten who dared,both
4769,Tex,tt0084783,movie,Tex,Tex,0,1982,\N,103,Drama,tex,both
4779,That Darn Cat,tt0059793,movie,That Darn Cat!,That Darn Cat!,0,1965,\N,116,"Comedy,Crime,Family",that darn cat,both
4780,That Darn Cat,tt0120317,movie,That Darn Cat,That Darn Cat,0,1997,\N,89,"Action,Comedy,Crime",that darn cat,both
4791,The Adventures Of Bullwhip Griffin,tt0061333,movie,The Adventures of Bullwhip Griffin,The Adventures of Bullwhip Griffin,0,1967,\N,108,"Action,Adventure,Comedy",the adventures of bullwhip griffin,both
4792,The Adventures of Huck Finn,tt0106223,movie,The Adventures of Huck Finn,The Adventures of Huck Finn,0,1993,\N,108,"Adventure,Comedy,Drama",the adventures of huck finn,both
4794,The Adventures of Huck Finn,tt2081266,movie,The Adventures of Huck Finn,Die Abenteuer des Huck Finn,0,2012,\N,99,"Adventure,Family",the adventures of huck finn,both
4795,The Adventures Of Ichabod And Mr. Toad,tt0041094,movie,The Adventures of Ichabod and Mr. Toad,The Adventures of Ichabod and Mr. Toad,0,1949,\N,68,"Animation,Comedy,Family",the adventures of ichabod and mr toad,both
4797,The African Lion,tt0047803,movie,The African Lion,The African Lion,0,1955,\N,75,"Documentary,Family",the african lion,both
4798,The Apple Dumpling Gang,tt0072653,movie,The Apple Dumpling Gang,The Apple Dumpling Gang,0,1975,\N,100,"Comedy,Family,Western",the apple dumpling gang,both
4800,The Apple Dumpling Gang Rides Again,tt0078790,movie,The Apple Dumpling Gang Rides Again,The Apple Dumpling Gang Rides Again,0,1979,\N,88,"Comedy,Family,Western",the apple dumpling gang rides again,both
4801,The Aristocats,tt0065421,movie,The Aristocats,The AristoCats,0,1970,\N,78,"Adventure,Animation,Comedy",the aristocats,both
4805,The Barefoot Executive,tt0066811,movie,The Barefoot Executive,The Barefoot Executive,0,1971,\N,96,"Comedy,Family",the barefoot executive,both
4807,The Bears And I,tt0071199,movie,The Bears and I,The Bears and I,0,1974,\N,89,"Drama,Family",the bears and i,both
4811,The BFG,tt3691740,movie,The BFG,The BFG,0,2016,\N,117,"Adventure,Family,Fantasy",the bfg,both
4819,The Big Green,tt0112499,movie,The Big Green,The Big Green,0,1995,\N,100,"Comedy,Family,Sport",the big green,both
4822,The Biscuit Eater,tt0032254,movie,The Biscuit Eater,The Biscuit Eater,0,1940,\N,81,"Drama,Family",the biscuit eater,both
4823,The Biscuit Eater,tt0068276,movie,The Biscuit Eater,The Biscuit Eater,0,1972,\N,90,"Drama,Family",the biscuit eater,both
4824,The Black Cauldron,tt0088814,movie,The Black Cauldron,The Black Cauldron,0,1985,\N,80,"Action,Adventure,Animation",the black cauldron,both
4832,The Black Hole,tt0078869,movie,The Black Hole,The Black Hole,0,1979,\N,98,"Action,Sci-Fi",the black hole,both
4855,The Boatniks,tt0065482,movie,The Boatniks,The Boatniks,0,1970,\N,99,"Comedy,Family",the boatniks,both
4858,The Boys: The Sherman Brothers' Story,tt1015971,movie,The Boys,The Boys: The Sherman Brothers' Story,0,2009,\N,101,Documentary,the boys,both
4859,The Brave Little Toaster,tt0092695,movie,The Brave Little Toaster,The Brave Little Toaster,0,1987,\N,90,"Adventure,Animation,Family",the brave little toaster,both
4869,The Castaway Cowboy,tt0071288,movie,The Castaway Cowboy,The Castaway Cowboy,0,1974,\N,91,"Comedy,Family,Western",the castaway cowboy,both
4871,The Cat from Outer Space,tt0077305,movie,The Cat from Outer Space,The Cat from Outer Space,0,1978,\N,104,"Comedy,Family,Sci-Fi",the cat from outer space,both
4879,The Christmas Star,tt0090840,movie,The Christmas Star,The Christmas Star,0,1986,\N,94,"Drama,Family",the christmas star,both
4885,The Chronicles of Narnia: Prince Caspian,tt0499448,movie,The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,0,2008,\N,150,"Action,Adventure,Family",the chronicles of narnia prince caspian,both
4891,The Computer Wore Tennis Shoes,tt0065566,movie,The Computer Wore Tennis Shoes,The Computer Wore Tennis Shoes,0,1969,\N,91,"Comedy,Family,Sci-Fi",the computer wore tennis shoes,both
4893,The Country Bears,tt0276033,movie,The Country Bears,The Country Bears,0,2002,\N,88,"Comedy,Family,Music",the country bears,both
4901,The Crimson Wing: Mystery of the Flamingos,tt0902967,movie,The Crimson Wing: Mystery of the Flamingos,The Crimson Wing: Mystery of the Flamingos,0,2008,\N,78,Documentary,the crimson wing mystery of the flamingos,both
4902,The Devil and Max Devlin,tt0082263,movie,The Devil and Max Devlin,The Devil and Max Devlin,0,1981,\N,96,"Comedy,Family,Fantasy",the devil and max devlin,both
4905,The Duke,tt0196516,movie,The Duke,The Duke,0,1999,\N,88,"Comedy,Drama,Family",the duke,both
4924,The Emperor's New Groove,tt0120917,movie,The Emperor's New Groove,The Emperor's New Groove,0,2000,\N,78,"Adventure,Animation,Comedy",the emperors new groove,both
4936,The Fighting Prince of Donegal,tt0060408,movie,The Fighting Prince of Donegal,The Fighting Prince of Donegal,0,1966,\N,110,"Adventure,Biography,Family",the fighting prince of donegal,both
4937,The Finest Hours,tt0058099,movie,The Finest Hours,The Finest Hours,0,1964,\N,116,"Biography,Documentary,War",the finest hours,both
4938,The Finest Hours,tt2025690,movie,The Finest Hours,The Finest Hours,0,2016,\N,117,"Action,Drama,History",the finest hours,both
4940,The Fox and the Hound,tt0082406,movie,The Fox and the Hound,The Fox and the Hound,0,1981,\N,83,"Adventure,Animation,Drama",the fox and the hound,both
4951,The Game Plan,tt0492956,movie,The Game Plan,The Game Plan,0,2007,\N,110,"Comedy,Family,Sport",the game plan,both
4963,The Gnome-Mobile,tt0061715,movie,The Gnome-Mobile,The Gnome-Mobile,0,1967,\N,84,"Adventure,Family,Fantasy",the gnomemobile,both
4966,The Good Dinosaur,tt1979388,movie,The Good Dinosaur,The Good Dinosaur,0,2015,\N,93,"Adventure,Animation,Comedy",the good dinosaur,both
4976,The Great Locomotive Chase,tt0049279,movie,The Great Locomotive Chase,The Great Locomotive Chase,0,1956,\N,85,"Action,Adventure,Family",the great locomotive chase,both
4977,The Great Mouse Detective,tt0091149,movie,The Great Mouse Detective,The Great Mouse Detective,0,1986,\N,74,"Adventure,Animation,Family",the great mouse detective,both
4983,The Great Muppet Caper,tt0082474,movie,The Great Muppet Caper,The Great Muppet Caper,0,1981,\N,97,"Adventure,Comedy,Crime",the great muppet caper,both
4986,The Greatest Game Ever Played,tt0388980,movie,The Greatest Game Ever Played,The Greatest Game Ever Played,0,2005,\N,120,"Biography,Drama,Sport",the greatest game ever played,both
4990,The Happiest Millionaire,tt0061749,movie,The Happiest Millionaire,The Happiest Millionaire,0,1967,\N,141,"Comedy,Family,Musical",the happiest millionaire,both
4992,The Haunted Mansion,tt0338094,movie,The Haunted Mansion,The Haunted Mansion,0,2003,\N,99,"Comedy,Family,Fantasy",the haunted mansion,both
5000,The Horse In The Gray Flannel Suit,tt0063091,movie,The Horse in the Gray Flannel Suit,The Horse in the Gray Flannel Suit,0,1968,\N,113,"Comedy,Drama,Family",the horse in the gray flannel suit,both
5005,The Hunchback of Notre Dame,tt0116583,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1996,\N,91,"Animation,Drama,Family",the hunchback of notre dame,both
5039,The Incredible Journey,tt0057180,movie,The Incredible Journey,The Incredible Journey,0,1963,\N,80,"Adventure,Drama,Family",the incredible journey,both
5047,The Incredibles,tt0317705,movie,The Incredibles,The Incredibles,0,2004,\N,115,"Action,Adventure,Animation",the incredibles,both
5056,The Island at the Top of the World,tt0071671,movie,The Island at the Top of the World,The Island at the Top of the World,0,1974,\N,93,"Adventure,Family,Fantasy",the island at the top of the world,both
5057,The Journey of Natty Gann,tt0089385,movie,The Journey of Natty Gann,The Journey of Natty Gann,0,1985,\N,101,"Adventure,Family",the journey of natty gann,both
5069,The Jungle Book 2,tt0283426,movie,The Jungle Book 2,The Jungle Book 2,0,2003,\N,72,"Adventure,Animation,Comedy",the jungle book 2,both
5076,The Kid,tt0219854,movie,The Kid,The Kid,0,2000,\N,104,"Comedy,Family,Fantasy",the kid,both
5145,The Last Flight Of Noah's Ark,tt0081031,movie,The Last Flight of Noah's Ark,The Last Flight of Noah's Ark,0,1980,\N,97,"Adventure,Family",the last flight of noahs ark,both
5146,The Legend of Lobo,tt0056173,movie,The Legend of Lobo,The Legend of Lobo,0,1962,\N,67,"Adventure,Family",the legend of lobo,both
5147,The Light in the Forest,tt0051864,movie,The Light in the Forest,The Light in the Forest,0,1958,\N,83,"Adventure,Drama,Family",the light in the forest,both
5149,The Lion King,tt0110357,movie,The Lion King,The Lion King,0,1994,\N,88,"Adventure,Animation,Drama",the lion king,both
5179,The Lion King,tt6105098,movie,The Lion King,The Lion King,0,2019,\N,118,"Adventure,Animation,Drama",the lion king,both
5193,The Little Mermaid,tt0097757,movie,The Little Mermaid,The Little Mermaid,0,1989,\N,83,"Adventure,Animation,Comedy",the little mermaid,both
5238,The Littlest Horse Thieves,tt0076320,movie,The Littlest Horse Thieves,Escape from the Dark,0,1976,\N,104,"Drama,Family",the littlest horse thieves,both
5239,The Littlest Outlaw,tt0048304,movie,The Littlest Outlaw,The Littlest Outlaw,0,1955,\N,73,"Drama,Family",the littlest outlaw,both
5240,The Living Desert,tt0046008,movie,The Living Desert,The Living Desert,0,1953,\N,69,"Documentary,Family",the living desert,both
5242,The Lizzie McGuire Movie,tt0306841,movie,The Lizzie McGuire Movie,The Lizzie McGuire Movie,0,2003,\N,94,"Adventure,Comedy,Family",the lizzie mcguire movie,both
5253,The Lone Ranger,tt1210819,movie,The Lone Ranger,The Lone Ranger,0,2013,\N,150,"Action,Adventure,Western",the lone ranger,both
5266,The Love Bug,tt0064603,movie,The Love Bug,The Love Bug,0,1968,\N,108,"Comedy,Family,Sport",the love bug,both
5280,The Many Adventures of Winnie the Pooh,tt0076363,movie,The Many Adventures of Winnie the Pooh,The Many Adventures of Winnie the Pooh,0,1977,\N,74,"Adventure,Animation,Comedy",the many adventures of winnie the pooh,both
5282,The Mighty Ducks,tt0104868,movie,The Mighty Ducks,The Mighty Ducks,0,1992,\N,104,"Comedy,Drama,Family",the mighty ducks,both
5286,The Million Dollar Duck,tt0066728,movie,The Million Dollar Duck,The Million Dollar Duck,0,1971,\N,89,"Comedy,Family,Sci-Fi",the million dollar duck,both
5287,The Million Dollar Duck,tt5372452,movie,The Million Dollar Duck,The Million Dollar Duck,0,2016,\N,71,Documentary,the million dollar duck,both
5297,The Misadventures of Merlin Jones,tt0058355,movie,The Misadventures of Merlin Jones,The Misadventures of Merlin Jones,0,1964,\N,91,"Comedy,Family,Sci-Fi",the misadventures of merlin jones,both
5298,The Monkey's Uncle,tt0059462,movie,The Monkey's Uncle,The Monkey's Uncle,0,1965,\N,91,"Comedy,Family,Sci-Fi",the monkeys uncle,both
5302,The Moon-Spinners,tt0058371,movie,The Moon-Spinners,The Moon-Spinners,0,1964,\N,118,"Adventure,Family,Mystery",the moonspinners,both
5303,The Muppet Christmas Carol,tt0104940,movie,The Muppet Christmas Carol,The Muppet Christmas Carol,0,1992,\N,85,"Comedy,Drama,Family",the muppet christmas carol,both
5315,The Muppets,tt1204342,movie,The Muppets,The Muppets,0,2011,\N,120,"Adventure,Comedy,Family",the muppets,both
5354,The North Avenue Irregulars,tt0079639,movie,The North Avenue Irregulars,The North Avenue Irregulars,0,1979,\N,100,"Action,Comedy,Crime",the north avenue irregulars,both
5356,The Nutcracker and the Four Realms,tt5523010,movie,The Nutcracker and the Four Realms,The Nutcracker and the Four Realms,0,2018,\N,99,"Adventure,Family,Fantasy",the nutcracker and the four realms,both
5360,The Odd Life of Timothy Green,tt1462769,movie,The Odd Life of Timothy Green,The Odd Life of Timothy Green,0,2012,\N,105,"Comedy,Drama,Family",the odd life of timothy green,both
5365,"The One and Only, Genuine, Original Family Band",tt0063389,movie,"The One and Only, Genuine, Original Family Band","The One and Only, Genuine, Original Family Band",0,1968,\N,110,"Comedy,Drama,Family",the one and only genuine original family band,both
5366,The Other Side of Heaven,tt0250371,movie,The Other Side of Heaven,The Other Side of Heaven,0,2001,\N,113,"Adventure,Biography,Drama",the other side of heaven,both
5367,The Pacifier,tt0395699,movie,The Pacifier,The Pacifier,0,2005,\N,95,"Action,Comedy,Drama",the pacifier,both
5369,The Parent Trap,tt0055277,movie,The Parent Trap,The Parent Trap,0,1961,\N,129,"Comedy,Family,Romance",the parent trap,both
5370,The Parent Trap,tt0120783,movie,The Parent Trap,The Parent Trap,0,1998,\N,128,"Adventure,Comedy,Drama",the parent trap,both
5412,The Peanuts Movie,tt2452042,movie,The Peanuts Movie,The Peanuts Movie,0,2015,\N,88,"Adventure,Animation,Comedy",the peanuts movie,both
5431,The Pixar Story,tt1059955,movie,The Pixar Story,The Pixar Story,0,2007,\N,88,Documentary,the pixar story,both
5432,The Princess and the Frog,tt0780521,movie,The Princess and the Frog,The Princess and the Frog,0,2009,\N,97,"Adventure,Animation,Comedy",the princess and the frog,both
